Date,oc,pos,turnover,gross,net
2012-01-02 19:00:00-05:00,-0.029716484089820194,0.0,0.0,-0.0,-0.0
2012-01-03 19:00:00-05:00,-0.017724571819613066,0.0,0.0,-0.0,-0.0
2012-01-04 19:00:00-05:00,-0.02305494791465368,-0.0,0.0,0.0,0.0
2012-01-05 19:00:00-05:00,-0.01066158536986217,-0.0,0.0,0.0,0.0
2012-01-08 19:00:00-05:00,0.009259449356382454,-0.0,0.0,-0.0,-0.0
2012-01-09 19:00:00-05:00,0.0065598140230427315,-0.0,0.0,-0.0,-0.0
2012-01-10 19:00:00-05:00,0.022085596211526504,-0.0,0.0,-0.0,-0.0
2012-01-11 19:00:00-05:00,-0.00807619782870439,-0.0,0.0,0.0,0.0
2012-01-12 19:00:00-05:00,-0.19753522572241478,-0.0,0.0,0.0,0.0
2012-01-16 19:00:00-05:00,-0.0007517304039917905,-0.0,0.0,0.0,0.0
2012-01-17 19:00:00-05:00,0.004496075907701957,-0.0,0.0,-0.0,-0.0
2012-01-18 19:00:00-05:00,-0.015814803778543607,-0.0,0.0,0.0,0.0
2012-01-19 19:00:00-05:00,-0.011152473934375129,-0.0,0.0,0.0,0.0
2012-01-22 19:00:00-05:00,-0.001491605948175545,-0.0,0.0,0.0,0.0
2012-01-23 19:00:00-05:00,0.029665928110609308,-0.0,0.0,-0.0,-0.0
2012-01-24 19:00:00-05:00,0.025669471975619862,0.0,0.0,0.0,0.0
2012-01-25 19:00:00-05:00,0.03099393236500303,0.0,0.0,0.0,0.0
2012-01-26 19:00:00-05:00,0.029122641577502772,0.0,0.0,0.0,0.0
2012-01-29 19:00:00-05:00,0.0027126480634280803,0.0,0.0,0.0,0.0
2012-01-30 19:00:00-05:00,-0.027759044174166192,0.0,0.0,-0.0,-0.0
2012-01-31 19:00:00-05:00,0.017543880152957048,0.0,0.0,0.0,0.0
2012-02-01 19:00:00-05:00,0.017833383652336554,0.0,0.0,0.0,0.0
2012-02-02 19:00:00-05:00,0.024334457491611117,0.0,0.0,0.0,0.0
2012-02-05 19:00:00-05:00,0.022508135460257428,0.0,0.0,0.0,0.0
2012-02-06 19:00:00-05:00,-0.006289077594455406,0.12812322686808045,0.12812322686808045,-0.0008057769154253716,-0.0009595247876670681
2012-02-07 19:00:00-05:00,0.01044307142528944,0.12824761436798948,0.00012438749990903442,0.0013392989969678905,0.0013391497319679996
2012-02-08 19:00:00-05:00,0.018125142282830797,0.12813725272200402,0.00011036164598546283,0.0023225059373173707,0.002322373503342188
2012-02-09 19:00:00-05:00,-0.03595811386688019,0.12837860443008003,0.00024135170807601525,-0.004616252476167988,-0.004616542098217679
2012-02-12 19:00:00-05:00,-0.001901719085134479,0.12687582676687986,0.0015027776632001721,-0.0002412821812047914,-0.0002430855144006316
2012-02-13 19:00:00-05:00,0.04505345094565749,0.3248234360808911,0.19794760931401123,0.014634416743470338,0.014396879612293524
2012-02-14 19:00:00-05:00,0.01510561581566372,0.29845956116284783,0.026363874918043262,0.004508415467437568,0.0044767788175359155
2012-02-15 19:00:00-05:00,0.0202987463380504,0.2982245838913411,0.0002349772715067311,0.006053585180180964,0.006053303207455156
2012-02-16 19:00:00-05:00,0.028831813160642206,0.30907753761014095,0.010852953718799851,0.008911265816526948,0.008898242272064389
2012-02-20 19:00:00-05:00,-0.010610992824880316,0.3145476292682679,0.005470091658126952,-0.0033376626372487047,-0.003344226747238457
2012-02-21 19:00:00-05:00,-0.008116079581635516,0.307607652650017,0.006939976618250909,-0.002496568188827633,-0.002504896160769534
2012-02-22 19:00:00-05:00,0.015887031260505058,0.30606352372885837,0.0015441289211586273,0.004862440769180704,0.004860587814475314
2012-02-23 19:00:00-05:00,-0.014022815048411963,0.30990116947084967,0.0038376457419913024,-0.0043456867827762966,-0.0043502919576666865
2012-02-26 19:00:00-05:00,0.006285516594106255,0.30849457994631535,0.0014065895245343185,0.0019390478014444038,0.0019373598940149626
2012-02-27 19:00:00-05:00,0.005053353414638639,0.31790586163079343,0.009411281684478079,0.0016064906714056088,0.001595197133384235
2012-02-28 19:00:00-05:00,-0.011830914047561647,0.31822460230451216,0.0003187406737187315,-0.0037648879176841715,-0.003765270406492634
2012-02-29 19:00:00-05:00,0.026857629207877265,0.3386358539622463,0.020411251657734164,0.009094956202210886,0.009070462700221606
2012-03-01 19:00:00-05:00,-0.010465190744589625,0.3320956997759949,0.006540154186251423,-0.003475444843613757,-0.0034832930286372585
2012-03-04 19:00:00-05:00,-0.016885137214579626,0.32672619725403923,0.005369502521955671,-0.005516816672232262,-0.005523260075258609
2012-03-05 19:00:00-05:00,-0.004210758412992899,0.3225657595064901,0.0041604377475491505,-0.0013582464855853972,-0.0013632390108824562
2012-03-06 19:00:00-05:00,0.0,0.0,0.3225657595064901,0.0,-0.00038707891140778806
2012-03-07 19:00:00-05:00,-0.00120779077978872,0.0,0.0,-0.0,-0.0
2012-03-08 19:00:00-05:00,0.04638574417473107,0.0,0.0,0.0,0.0
2012-03-11 20:00:00-04:00,0.03805133346006828,0.2983519609676795,0.2983519609676795,0.01135268995524645,0.010994667602085235
2012-03-12 20:00:00-04:00,-0.011503745346233885,0.3139081144136188,0.015556153445939302,-0.0036111190103307214,-0.0036297863944658487
2012-03-13 20:00:00-04:00,-0.019722083420670722,0.3082017321115802,0.005706382302038626,-0.006078380271099795,-0.006085227929862241
2012-03-14 20:00:00-04:00,-0.007936642289921303,0.3254944715312949,0.01729273941971471,-0.0025833331878908606,-0.0026040844751945183
